symbol,line,date,sampleID,scene,shape,size,stack,gfp,brDisc,brDisc_gfp,brDisc_gfpNEG,KDtoWT
Tip60,v110617,220224,Tip60_v110617_220224,a1,1.3.10.1024.1024,1024x1024,10,42.260727882385254,37.926039695739746,16.74530792236328,16.13539695739746,1.0377995636906967
Tip60,v110617,220224,Tip60_v110617_220224,a2,1.3.10.1024.1024,1024x1024,10,41.88285255432129,24.08512592315674,10.929624557495117,10.303129196166992,1.060806319070637
Tip60,v110617,220224,Tip60_v110617_220224,b1,1.3.10.1024.1024,1024x1024,10,40.38505840301514,36.97231388092041,17.979448318481445,14.174760818481445,1.2684128182987993
Tip60,v110617,220224,Tip60_v110617_220224,b2,1.3.10.1024.1024,1024x1024,10,41.494422912597656,22.238289833068848,10.691165924072266,8.340855598449707,1.28178288160982
Tip60,v110617,220224,Tip60_v110617_220224,c1,1.3.10.1024.1024,1024x1024,10,46.4575777053833,25.487350463867188,12.19152545928955,10.46557331085205,1.164917114158267
Tip60,v110617,220224,Tip60_v110617_220224,d1,1.3.10.1024.1024,1024x1024,10,37.862975120544434,19.75161075592041,8.89276123046875,7.856682777404785,1.1318722522492122
Tip60,v110617,220224,Tip60_v110617_220224,e1,1.3.10.1024.1024,1024x1024,10,39.95485019683838,19.632046699523926,8.936251640319824,7.397574424743652,1.2079975309784723
polybromo,v108618,220310,polybromo_v108618_220310,a1,1.3.17.1024.1024,1024x1024,17,39.60799789428711,42.299445152282715,17.65402317047119,18.59192943572998,0.9495530429748555
polybromo,v108618,220310,polybromo_v108618_220310,a2,1.3.10.1024.1024,1024x1024,10,37.26819324493408,36.21983051300049,15.212386131286621,16.295130729675293,0.9335541017528095
polybromo,v108618,220310,polybromo_v108618_220310,b1,1.3.10.1024.1024,1024x1024,10,38.467512130737305,39.56357002258301,17.00942897796631,18.109971046447754,0.9392300481508878
polybromo,v108618,220310,polybromo_v108618_220310,c1,1.3.10.1024.1024,1024x1024,10,35.35188674926758,47.86873531341553,20.162379264831543,21.65964698791504,0.9308729397150889
polybromo,v108618,220310,polybromo_v108618_220310,a1,1.3.10.1024.1024,1024x1024,10,26.991257667541504,38.74214744567871,14.912917137145996,17.093945503234863,0.8724093062262233
polybromo,v108618,220310,polybromo_v108618_220310,b1,1.3.10.1024.1024,1024x1024,10,24.912654876708984,45.95379161834717,18.400320053100586,19.721282958984375,0.9330184091658195
polybromo,v108618,220310,polybromo_v108618_220310,c1,1.3.10.1024.1024,1024x1024,10,23.47215747833252,42.05914878845215,16.786452293395996,17.261752128601074,0.9724651453882511
polybromo,v108618,220310,polybromo_v108618_220310,d1,1.3.10.1024.1024,1024x1024,10,29.560653686523438,37.996686935424805,15.07394790649414,15.051350593566895,1.0015013478549164
polybromo,v108618,220310,polybromo_v108618_220310,e1,1.3.10.1024.1024,1024x1024,10,23.35165500640869,36.59808826446533,14.602665901184082,13.011320114135742,1.1223047141326936
polybromo,v108618,220310,polybromo_v108618_220310,e2,1.3.10.1024.1024,1024x1024,10,24.23164939880371,27.638880729675293,10.783058166503906,9.651782035827637,1.1172090424832375
Snr1,32372,210323,Snr1_32372_210323,Series001,1.3.10.1024.1024,1024x1024,10,58.447110176086426,31.223241806030273,15.792360305786133,11.22215747833252,1.4072481460251876
Snr1,32372,210323,Snr1_32372_210323,Series002,1.3.10.1024.1024,1024x1024,10,49.510870933532715,33.65665531158447,15.857436180114746,14.27448558807373,1.1108937048746306
Snr1,32372,210323,Snr1_32372_210323,Series003,1.3.20.1024.1024,1024x1024,20,56.256656646728516,37.54943561553955,18.248567581176758,13.036304473876953,1.3998267390689207
Snr1,32372,210323,Snr1_32372_210323,Series004,1.3.20.1024.1024,1024x1024,20,55.998108863830566,22.00212860107422,10.587483406066895,7.6511383056640625,1.3837788552625019
Act5C,42651,210323,Act5C_42651_210323,Series001,1.3.10.1024.1024,1024x1024,10,19.82712173461914,21.4113187789917,8.12254810333252,9.641775131225586,0.8424328500492674
Act5C,42651,210323,Act5C_42651_210323,Series002,1.3.10.1024.1024,1024x1024,10,22.204554557800293,25.504895210266113,10.82660961151123,10.785308837890625,1.0038293547492594
Act5C,42651,210323,Act5C_42651_210323,Series003,1.3.1.1024.1024,1024x1024,1,0.0,0.0,0.0,0.0,
Act5C,42651,210323,Act5C_42651_210323,Series004,1.3.10.1024.1024,1024x1024,10,12.225197792053223,29.46916961669922,11.631950378417969,14.367169380187988,0.8096201882646538
Act5C,42651,210323,Act5C_42651_210323,Series005,1.3.10.1024.1024,1024x1024,10,23.17158031463623,23.242697715759277,9.623448371887207,10.184646606445312,0.9448976232319192
osa,31266,210323,osa_31266_210323,Series001,1.3.10.1024.1024,1024x1024,10,62.002662658691406,33.11706733703613,15.061357498168945,14.631017684936523,1.0294128421207147
osa,31266,210323,osa_31266_210323,Series002,1.3.10.1024.1024,1024x1024,10,58.681678771972656,27.49749183654785,12.300471305847168,11.247458457946777,1.0936222927017254
osa,31266,210323,osa_31266_210323,Series003,1.3.10.1024.1024,1024x1024,10,64.3793134689331,29.790881156921387,13.475071907043457,12.434531211853027,1.083681537925495
osa,31266,210323,osa_31266_210323,Series004,1.3.10.1024.1024,1024x1024,10,24.377863883972168,26.056806564331055,9.479904174804688,13.190966606140137,0.7186663766089725
Nurf-38,31341,210505,Nurf-38_31341_210505,Series001,1.3.10.1024.1024,1024x1024,10,54.19303798675537,65.14331245422363,28.5609769821167,33.503281593322754,0.8524829695431667
Nurf-38,31341,210505,Nurf-38_31341_210505,Series002,1.3.10.1024.1024,1024x1024,10,35.367398262023926,43.107248306274414,17.76965618133545,20.46032428741455,0.868493379269938
Nurf-38,31341,210505,Nurf-38_31341_210505,Series003,1.3.10.1024.1024,1024x1024,10,35.4584264755249,40.905988693237305,15.82669734954834,20.890021324157715,0.7576199709880608
Nurf-38,31341,210505,Nurf-38_31341_210505,Series004,1.3.10.1024.1024,1024x1024,10,44.40701770782471,38.731730461120605,15.769034385681152,19.270819664001465,0.8182856080137699
Nup153,32837,210505,Nup153_32837_210505,Series001,1.3.10.1024.1024,1024x1024,10,44.100582122802734,34.58834648132324,15.496487617492676,15.996467590332031,0.9687443512127931
Nup153,32837,210505,Nup153_32837_210505,Series002,1.3.10.1024.1024,1024x1024,10,40.606727600097656,38.59688377380371,17.32817840576172,17.318211555480957,1.0005755126762848
Nup153,32837,210505,Nup153_32837_210505,Series003,1.3.10.1024.1024,1024x1024,10,42.32370948791504,45.605706214904785,21.706963539123535,19.286789894104004,1.1254834867962855
Nup153,32837,210505,Nup153_32837_210505,Series004,1.3.10.1024.1024,1024x1024,10,44.515257835388184,46.78448009490967,23.97567653656006,18.441091537475586,1.3001224188837852
mor,34919,210422,mor_34919_210422,Series001,1.3.10.1024.1024,1024x1024,10,28.32981586456299,30.228530883789062,15.025293350219727,12.276498794555664,1.2239070439923057
mor,34919,210422,mor_34919_210422,Series002,1.3.10.1024.1024,1024x1024,10,29.782711029052734,24.67777442932129,12.203256607055664,10.066335678100586,1.2122838932943565
mor,34919,210422,mor_34919_210422,Series003,1.3.10.1024.1024,1024x1024,10,30.94157886505127,25.04941463470459,12.588155746459961,10.135390281677246,1.242000100303668
mor,34919,210422,mor_34919_210422,Series004,1.3.10.1024.1024,1024x1024,10,30.174983024597168,22.418102264404297,10.227447509765625,9.10449504852295,1.1233404439518977
mor,34919,210422,mor_34919_210422,Series005,1.3.10.1024.1024,1024x1024,10,30.6810359954834,20.68039608001709,10.199456214904785,8.695323944091797,1.1729817405865597
mor,34919,210422,mor_34919_210422,Series006,1.3.10.1024.1024,1024x1024,10,28.333251953125,21.117566108703613,8.801217079162598,9.06387996673584,0.9710209216652023
mor,34919,210422,mor_34919_210422,Series007,1.3.10.1024.1024,1024x1024,10,24.14232063293457,23.703245162963867,10.741392135620117,9.2423734664917,1.162189796220973
