9327,w[1118]; P{w[+mC]=UAS-EcR-RNAi}104,
26184,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02081}attP2,
26218,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02116}attP2,
26219,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02117}attP2,
26225,"y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02123}attP2/TM3, Sb[1]",
26744,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02307}attP2,
28563,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HM05049}attP2,
28686,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF03101}attP2,
28944,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HM05155}attP2,
30504,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HM05248}attP2,
31086,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01538}attP2,
31111,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01582}attP2,
31154,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01631}attP2,
31202,"y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01720}attP2/TM3, Sb[1]",
31255,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01196}attP2,
31266,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01207}attP2,
31337,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01295}attP2,
31340,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01298}attP2,
31341,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01299}attP2,
31347,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01305}attP2,
31603,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01355}attP2,
31609,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01393}attP2,
31637,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01424}attP2,
31708,"y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HM04015}attP2/TM3, Sb[1]",
31712,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HM04019}attP2,
31714,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HM04021}attP2,
31938,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02229}attP2,
31960,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02732}attP2,
31962,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02829}attP2,
32346,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00337}attP2,
32372,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00363}attP2,
32415,"y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00410}attP2/TM3, Sb[1]",
32503,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00507}attP2,
32505,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00509}attP2,
32837,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00527}attP2,
32840,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00531}attP2,
32845,"y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00628}attP2/TM3, Sb[1]",
32890,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00678}attP2,
32891,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00679}attP2,
32941,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00735}attP2,
32952,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00746}attP2,
33009,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00809}attP2,
33419,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00301}attP2,
33658,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00065}attP2,
33666,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00076}attP2,
33688,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00556}attP2,
33707,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00585}attP2,
33708,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00586}attP2,
33726,"y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00608}attP2/TM3, Sb[1]",
33745,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01084}attP2,
34069,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00051}attP2,
34520,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00050}attP2,
34585,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01059}attP2,
34665,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01142}attP2,
33891,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00829}attP2,
33954,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00909}attP2,
33981,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00941}attP2,
34624,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01299}attP2,
34827,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00142}attP2,
34849,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS00167}attP2,
34905,"y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01251}attP2/TM3, Sb[1]",
34908,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01254}attP2,
34919,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01267}attP2,
38261,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01706}attP40,
38385,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01854}attP2,
38941,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01855}attP2,
39000,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS01916}attP2,
40914,"y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS02162}attP2/TM3, Sb[1]",
41674,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS02208}attP2,
42651,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS02487}attP2,
42658,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS02494}attP2,
42847,y[1] sc[*] v[1] sev[21]; P{y[+t7.7] v[+t1.8]=TRiP.HMS02539}attP40,
50972,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HMJ21078}attP40,
51021,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HMJ21147}attP40,
51774,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HMC03329}attP40,
53918,y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HMJ21253}attP40,
