line	date	fp
31347	210228	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210228/31347.lif
31609	210228	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210228/31609.lif
31960	210228	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210228/31960.lif
26744	210217	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210217/26744.lif
31086	210217	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210217/31086.lif
32840	210217	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210217/32840.lif
30504	210217	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210217/30504.lif
26184	210217	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210217/26184/26184.lif
26218	210217	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210217/26218/26218.lif
28944	210423	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210423/28944.lif
31154	210423	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210423/31154.lif
31266	210423	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210423/31266/31266.lif
38285	210423	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210423/38285/38285.lif
34919	210422	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210422/34919/34919.lif
33419	210617	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210617/33419_6-16dissect.lif
33745	210617	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210617/33745_6-15dissect.lif
32372	210617	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210617/32372_late_6-15dissect.lif
33419	210617	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210617/33419_6-15dissect.lif
51774	210617	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210617/51774_6-16dissect.lif
42847	210707	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210707/42847.lif
31266	210503	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210503_31266_3LW/31266_3LW.lif
55917	210331	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210331/55917.lif
40914	210331	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210331/40914/40914.lif
32853	210331	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210331/32853/32853.lif
34827	210331	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210331/34827/34827.lif
41674	210331	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210331/41674/41674.lif
38941	210331	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210331/38941/38941.lif
32837	210505	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210505/32837.lif
31341	210505	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210505/31341.lif
31714	210527	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210527/31714.lif
31111	210527	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210527/31111.lif
55314	210527	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210527/55314.lif
53918	210527	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210527/53918.lif
31340	210527	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210527/31340.lif
31712	210527	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210527/31712/31712.lif
63658	210128	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210128/63658.lif
33708	210128	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210128/33708.lif
32840	210128	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210128/32840.lif
50972	210128	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210128/50972.lif
